GUID,ARTIST,TRACK,AIRTIME
eddf02c4-c170-4b4f-e568-7e98249672fe,Take That,Rule the World,2022-07-06T16:17:40+02:00
03e378e7-e0ee-423d-174e-81a82bdfdbdd,Alle Farben & Justin Jesso,As Far as Feelings Go,2022-07-06T16:13:44+02:00
97b41be7-29b3-4da4-d3e9-2c24272a77df,Donna Lewis,I Love You Always Forever,2022-07-06T16:10:01+02:00
4a3c0402-3860-4b75-9a75-635ed1535d65,Rea Garvey,Talk to Your Body,2022-07-06T16:05:36+02:00
b6524a11-8f17-4f48-6ed7-1a5e15fe79cf,Harry Styles,As It Was,2022-07-06T16:02:54+02:00
6d82fc36-64ef-4971-2475-1b7dee0c5f71,Sam Smith,Diamonds,2022-07-06T15:57:28+02:00
4cf676a7-1bf3-4b1a-2ac6-df1e4796968b,Wir sind Helden,Müssen nur wollen,2022-07-06T15:54:02+02:00
8865bf52-d32f-4bd7-3098-00df90ce98c3,Calvin Harris,Summer,2022-07-06T15:50:20+02:00
f01e5d57-c55f-4824-45d9-46ca937966da,Ray Dalton x Alvaro Soler,Manila,2022-07-06T15:47:32+02:00
f4dfb455-e260-4597-3c2c-82781805ec38,Tom Gregory,Small Steps,2022-07-06T15:44:49+02:00
5069e6d7-570b-4f68-1ab2-79a9984629a1,Purple Disco Machine & Sophie and the Giants,In The Dark,2022-07-06T15:40:52+02:00
905899c0-a7f9-44bf-99c9-500053baeeb8,Roachford,Lay Your Love On Me,2022-07-06T15:36:51+02:00
a54b3db6-43c6-45a0-ff0b-e774e109cae2,Nico Santos,Weekend Lover,2022-07-06T15:33:05+02:00
1e307c26-7607-4388-ba3d-703d253a7d52,Glasperlenspiel,Geiles Leben,2022-07-06T15:29:41+02:00
b973a8c9-24c0-463a-aff8-a8140dce93b0,Bosse,So oder so,2022-07-06T15:26:41+02:00
49880f5a-bfff-42db-9cf1-9dc89723c4ed,Joss Stone,Right to Be Wrong,2022-07-06T15:22:28+02:00
6de954e6-325b-4701-c5cc-105a5cac5d82,Sigala & Rita Ora,You for Me,2022-07-06T15:19:28+02:00
f9e196eb-7671-4fc5-c462-272255285ae0,U2,Sunday Bloody Sunday,2022-07-06T15:14:35+02:00
58b8fad1-9c42-43bd-06aa-8346fc8b1794,Ava Max,Maybe You’re The Problem,2022-07-06T15:11:22+02:00
fe2dc261-c41d-400f-9837-660032c2348a,James Bay,Pink Lemonade,2022-07-06T15:05:41+02:00
879704e4-5ede-4529-bcec-a81c045a7fed,Mark Forster,Mellow Mellow,2022-07-06T15:02:42+02:00
58fde9d3-2474-4398-becf-a2126b598ad3,Wincent Weiss,An Wunder,2022-07-06T14:57:21+02:00
230b094a-cebc-4f04-5edd-1ef774e09b29,Michael Sembello,Maniac,2022-07-06T14:53:16+02:00
e1b57a7b-fb10-4c9c-2c63-11a2fb254870,Stefanie Heinzmann & Hight,Best Life,2022-07-06T14:50:04+02:00
ffef2207-ab7d-46ee-9132-ccebaef1fde9,Olly Murs,Dear Darlin',2022-07-06T14:46:39+02:00
92046384-62c2-461c-796e-17761dbd338e,Joy Crookes,Feet Don't Fail Me Now,2022-07-06T14:42:01+02:00
8fbf2a24-cefd-4b1e-2429-9f61e1f4e39d,Madonna,Hung Up,2022-07-06T14:38:48+02:00
48188b3e-8ecd-4687-1ef8-39ec492de264,The Weeknd,Blinding Lights,2022-07-06T14:35:36+02:00
847a8918-556c-411e-bc30-0cfd0ad3e384,Tom Jones & Mousse T.,Sex Bomb,2022-07-06T14:32:10+02:00
b801cbae-8d01-40d5-3c89-8143e1d6320c,Michael Patrick Kelly,Beautiful Madness,2022-07-06T14:28:24+02:00
97d25aa6-3c31-45d4-3e37-86f892d26ffe,Katy Perry,Firework,2022-07-06T14:24:42+02:00
ad8b4f24-2434-4760-cc7d-e89b1eb3b026,Charlie Puth,Light Switch,2022-07-06T14:21:29+02:00
823c4cc8-1479-40a1-5a59-a61218381853,Snow Patrol,Chasing Cars,2022-07-06T14:17:09+02:00
7487e0e2-216e-4c8d-6539-2c5648474bb2,OneRepublic,Didn't I,2022-07-06T14:13:11+02:00
105bda02-823e-4fec-945b-3f834856b8d9,FREUNDESKREIS MIT JOY DENALANE,MIT DIR,2022-07-06T14:08:49+02:00
