GUID,AIRTIME,ARTIST,TRACK
75749a6a-e071-404b-bb8f-65601409822e,ClockClock,Sorry,2022-07-06T19:12:59+02:00
5b4b1fe6-43ee-457e-f175-023640f43624,Alvaro Soler & Topic,Solo Para Ti,2022-07-06T19:08:34+02:00
b8af0fc2-8ab5-4f6d-89d6-39998f9eee02,Lady Gaga,Poker Face,2022-07-06T19:04:17+02:00
94bf17d1-bdab-4043-b412-9b87e30a2e99,Shawn Mendes,When You're Gone,2022-07-06T19:01:26+02:00
dedd4b32-e469-49c0-0954-c374cf0e38c0,Anastacia,Sick and Tired,2022-07-06T18:51:16+02:00
3c2ee7c1-00a0-4dd2-1b90-4c76ede129a0,Nickelback,What Are You Waiting For?,2022-07-06T18:47:22+02:00
d37dda80-1152-4df7-4d89-94d6c80fc5c5,Pascal Letoublon,Friendships (Lost My Love) (feat. Leony!),2022-07-06T18:44:22+02:00
83778084-d670-413f-3886-80103f8b8262,Jaymes Young,Infinity,2022-07-06T18:40:32+02:00
2231e86e-b59b-4f91-7cf0-ddd7a0910d24,Carly Rae Jepsen,Call Me Maybe,2022-07-06T18:35:26+02:00
b890bb5a-4c43-4e94-014d-5253a0523495,Elton John & Dua Lipa,Cold Heart (PNAU Remix),2022-07-06T18:31:54+02:00
e491b804-4a86-431e-3ce1-23fe19781c93,Mark Forster,194 Länder,2022-07-06T18:28:30+02:00
53db664e-01d9-42e7-e128-fdef08e3de4a,Texas,Summer Son,2022-07-06T18:20:12+02:00
dae020a4-b7bd-4e35-1c9f-4a12b910d03e,One Direction,Story of My Life,2022-07-06T18:16:21+02:00
05cff18b-77bf-40d9-9f6a-b378134ee167,Jax Jones & MNEK,Where Did You Go?,2022-07-06T18:13:26+02:00
0f1673f4-3a20-4d31-265a-86a04575a572,Ed Sheeran,Bad Habits,2022-07-06T18:09:03+02:00
661118e2-8f0e-4240-b16e-711821d0e19b,Milky Chance,Synchronize,2022-07-06T18:04:47+02:00
b2512cde-147d-4104-e83c-adb827f9d5df,Justin Bieber,Love Yourself,2022-07-06T18:00:54+02:00
d196998c-18b9-4ae4-5e0a-c1d3b0af9cb7,OneRepublic,West Coast,2022-07-06T17:57:41+02:00
69d54f9e-7308-471f-2971-28b0b4575611,Guru Josh,Infinity (1990's: Time For...),2022-07-06T17:47:12+02:00
ab6db19b-85c3-47e9-ebec-7e9c5d8901de,Aloe Blacc,I Need a Dollar,2022-07-06T17:43:30+02:00
9662e8e0-ff00-4661-dcf6-e8f5a066f1e1,Wincent Weiss,Musik sein,2022-07-06T17:39:54+02:00
60799099-42d0-4735-e832-c63f765b91d3,LUM!X & Gabry Ponte,Monster,2022-07-06T17:37:29+02:00
90618918-fc0e-42aa-6675-90a6dc5183ce,iann dior,let you,2022-07-06T17:34:58+02:00
0e8c6d93-2b3c-425e-496f-ef933b641d35,DJ ANTOINE feat. THE BEAT SHAK,Ma Chérie (DJ Antoine vs Mad Mark 2K12 Radio Edit),2022-07-06T17:30:43+02:00
211bacac-1ce7-4dc6-6791-ff78119fd60a,Michael Patrick Kelly,Blurry Eyes,2022-07-06T17:27:00+02:00
f6ff524f-fb29-4378-5f04-47ef763c07d5,Ava Max,EveryTime I Cry,2022-07-06T17:23:56+02:00
01e33bdb-0776-41b8-3f9a-a6e1b8560b2e,Ace of Base,All That She Wants,2022-07-06T17:16:29+02:00
9024e358-9930-4eca-92fd-c4cbb35d0d10,"Alle Farben, Kelvin Jones & YOUNOTUS",Only Thing We Know,2022-07-06T17:13:31+02:00
8d591381-c5f1-4aa2-ccd2-bf1ae0c5e390,Leony,Remedy,2022-07-06T17:11:10+02:00
fd02516c-c372-4f8c-45e5-a1f3184cc38b,Ofenbach & Quarterhead,Head Shoulders Knees & Toes (feat. Norma Jean Martine),2022-07-06T17:08:22+02:00
7dc98ba7-a990-4ca8-f349-4e923c5c1118,KAMRAD,I Believe,2022-07-06T17:04:03+02:00
c7b6019c-e2b0-4f2c-0dc0-e292d186a843,Sia,Unstoppable,2022-07-06T17:00:13+02:00
7779458f-d8f8-46fa-16fe-cb90e13fe7a2,Alesso & Katy Perry,When I'm Gone,2022-07-06T16:57:38+02:00
7f0329d9-35b0-4eeb-537e-c3e868a4cef3,Coolio,Gangsta's Paradise,2022-07-06T16:47:05+02:00
342e3957-a769-43cf-d0ee-0a3507f3fa1c,Clean Bandit,Solo (feat. Demi Lovato),2022-07-06T16:43:44+02:00
a4f66fa7-f1f1-4513-40da-25fb665f4316,Michael Schulte,Remember Me,2022-07-06T16:39:57+02:00
b8b0e401-6c05-4084-3a77-d533b51a1bfe,"Topic, Robin Schulz, Nico Santos & Paul van Dyk",In Your Arms (For An Angel),2022-07-06T16:37:23+02:00
ce4aa899-f44d-409f-adc1-64b1efa3b090,Amy Macdonald,This Is the Life,2022-07-06T16:33:29+02:00
0bae4523-a871-4996-b864-bfeb2b6b3d3d,Malik Harris,Rockstars,2022-07-06T16:30:42+02:00
c14ff8f6-2aaa-4542-99b1-d13398d1dc0f,"David Guetta, MistaJam & John Newman",If You Really Love Me (How Will I Know),2022-07-06T16:27:39+02:00
453ad0bb-9f54-42e1-0da2-983c68be5eda,Juli,Geile Zeit,2022-07-06T16:19:06+02:00
